"skill_id","skills","skill_count","avg_salary"
101,"pytorch","164","155566"
94,"numpy","108","155473"
99,"tensorflow","184","155107"
106,"scikit-learn","115","152449"
92,"spark","238","151409"
93,"pandas","159","150098"
8,"go","129","148574"
76,"aws","329","146286"
75,"databricks","107","144451"
4,"java","111","144127"
97,"hadoop","139","141154"
80,"snowflake","172","139861"
1,"python","1354","138646"
74,"azure","214","137651"
185,"looker","169","137590"
5,"r","703","131519"
0,"sql","1336","129506"
182,"tableau","582","125477"
7,"sas","209","120597"
186,"sas","209","120597"
183,"power bi","225","112626"
181,"excel","401","101339"
