"skills","skill_count"
"sql","75"
"python","52"
"tableau","41"
"r","33"
"sas","28"
"excel","24"
"power bi","20"
"snowflake","14"
"looker","12"
"go","11"
"aws","10"
"azure","9"
"hadoop","9"
"bigquery","7"
"oracle","7"
"sheets","6"
"databricks","6"
"pandas","6"
"flow","6"
"sql server","5"
"nosql","5"
"java","5"
"jira","5"
"redshift","5"
"spark","4"
"spss","4"
"airflow","4"
"vba","4"
"powerpoint","4"
"confluence","4"
"numpy","3"
"visio","3"
"scala","3"
"sharepoint","3"
"ssis","3"
"c++","3"
"word","2"
"alteryx","2"
"atlassian","2"
"bitbucket","2"
"c","2"
"crystal","2"
"dax","2"
"gcp","2"
"git","2"
"gitlab","2"
"javascript","2"
"jupyter","2"
"kubernetes","2"
"mysql","2"
"outlook","2"
"phoenix","2"
"postgresql","2"
"pyspark","2"
"qlik","2"
"ssrs","2"
"swift","2"
"microstrategy","1"
"scikit-learn","1"
"microsoft teams","1"
"matlab","1"
"shell","1"
"linux","1"
"jenkins","1"
"golang","1"
"github","1"
"elasticsearch","1"
"db2","1"
"watson","1"
"bash","1"
"t-sql","1"
"datarobot","1"
"twilio","1"
"unix","1"
"couchbase","1"
"cognos","1"
"sap","1"
"notion","1"
